2013-10-09 11:27:58,594 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:27:58,723 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:27:58,832 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-09 11:27:59,050 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-09 11:31:58,331 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:39509 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:39509@60000
2013-10-09 11:35:02,393 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Wed Oct 09 11:35:02 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-09 11:35:03,276 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-09 11:35:03,300 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:35:03,626 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:35:03,666 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:35:03,674 | INFO  | Recovery replayed 6 operations from the journal in 0.025 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:35:03,853 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39525-1381289703704-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:35:03,916 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:35:03,916 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:35:03,922 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:35:03,922 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:35:03,923 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39525-1381289703704-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:35:03,924 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:35:04,373 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:35:04,496 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 11:35:04,567 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-09 11:35:04,789 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-09 11:36:28,635 | WARN  | Transport Connection to: tcp://127.0.0.1:39529 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39529@60000
2013-10-09 11:38:49,726 | WARN  | Transport Connection to: tcp://127.0.0.1:39582 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39582@60000
2013-10-09 11:39:13,127 | WARN  | Transport Connection to: tcp://127.0.0.1:39588 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39588@60000
2013-10-09 11:39:42,206 | WARN  | Transport Connection to: tcp://127.0.0.1:39592 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39592@60000
2013-10-09 12:13:02,799 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Wed Oct 09 12:13:02 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-09 12:13:03,807 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-09 12:13:03,834 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-09 12:13:04,163 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 12:13:04,186 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 12:13:04,190 | INFO  | Recovery replayed 7 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 12:13:04,345 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-40447-1381291984214-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-09 12:13:04,418 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 12:13:04,419 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 12:13:04,427 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 12:13:04,428 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 12:13:04,429 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-40447-1381291984214-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-09 12:13:04,429 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-09 12:13:04,972 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 12:13:05,119 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-09 12:13:05,195 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-09 12:13:05,489 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-10 12:06:17,606 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Thu Oct 10 12:06:17 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-10 12:06:18,530 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-10 12:06:18,563 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:06:19,474 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:06:19,506 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:06:19,510 | INFO  | Recovery replayed 8 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:06:19,676 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-42407-1381377979531-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:06:19,756 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 12:06:19,756 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 12:06:19,762 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 12:06:19,762 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 12:06:19,763 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-42407-1381377979531-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:06:19,764 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:06:20,304 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 12:06:20,442 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 12:06:20,518 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-10 12:06:20,801 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
