"TIMET","MSDT","MACHINE","CPUBUSY","IDLE","WAITIO","MEMTOTAL","MEMUSED","MEMFREE"
1324666800,"12/23/2011  14:00:00","host0",1,98.9,0.1,32909536,21326138.7,11583397.3
1324670400,"12/23/2011  15:00:00","host0",1,98.9,0.1,32909536,21348214.5,11561321.5
1324674000,"12/23/2011  16:00:00","host0",1,98.9,0.1,32909536,21371840.5,11537695.5
1324677600,"12/23/2011  17:00:00","host0",1,98.9,0.1,32909536,21376432.4,11533103.6
1324681200,"12/23/2011  18:00:00","host0",1,98.9,0.1,32909536,21380689.9,11528846.1
1324684800,"12/23/2011  19:00:00","host0",1,98.9,0.1,32909536,21382868.3,11526667.7
1324688400,"12/23/2011  20:00:00","host0",1,98.9,0.1,32909536,21384883.5,11524652.5
1324692000,"12/23/2011  21:00:00","host0",1,98.9,0.1,32909536,21386825.2,11522710.8
1324695600,"12/23/2011  22:00:00","host0",1,98.9,0.1,32909536,21404876.7,11504659.3
1324699200,"12/23/2011  23:00:00","host0",1,98.9,0.1,32909536,21418169.6,11491366.4
1324702800,"12/24/2011   0:00:00","host0",1,98.9,0.1,32909536,21405557.2,11503978.8
1324706400,"12/24/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21337751.6,11571784.4
1324710000,"12/24/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21231605.6,11677930.4
1324713600,"12/24/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20968205.9,11941330.1
1324717200,"12/24/2011   4:00:00","host0",1,98.9,0.1,32909536,20986178,11923358
1324720800,"12/24/2011   5:00:00","host0",1,98.9,0.1,32909536,20988413.2,11921122.8
1324724400,"12/24/2011   6:00:00","host0",1.4,98.5,0.1,32909536,21217269.2,11692266.8
1324728000,"12/24/2011   7:00:00","host0",1,98.9,0.1,32909536,21300110.4,11609425.6
1324731600,"12/24/2011   8:00:00","host0",1,99,0.1,32909536,21299634.3,11609901.7
1324735200,"12/24/2011   9:00:00","host0",1,99,0.1,32909536,21301002.5,11608533.5
1324738800,"12/24/2011  10:00:00","host0",1,98.9,0.1,32909536,21303176.9,11606359.1
1324742400,"12/24/2011  11:00:00","host0",1,98.9,0.1,32909536,21305957.5,11603578.5
1324746000,"12/24/2011  12:00:00","host0",1,98.9,0.1,32909536,21283905.6,11625630.4
1324749600,"12/24/2011  13:00:00","host0",1,98.9,0.1,32909536,21264676.5,11644859.5
1324753200,"12/24/2011  14:00:00","host0",1,98.9,0.1,32909536,21266285.1,11643250.9
1324756800,"12/24/2011  15:00:00","host0",1,98.9,0.1,32909536,21268205.7,11641330.3
1324760400,"12/24/2011  16:00:00","host0",1,98.9,0.1,32909536,21271567.3,11637968.7
1324764000,"12/24/2011  17:00:00","host0",1,98.9,0.1,32909536,21275589.3,11633946.7
1324767600,"12/24/2011  18:00:00","host0",1,98.9,0.1,32909536,21278208.7,11631327.3
1324771200,"12/24/2011  19:00:00","host0",1,98.9,0.1,32909536,21281418.9,11628117.1
1324774800,"12/24/2011  20:00:00","host0",1,98.9,0.1,32909536,21283559.1,11625976.9
1324778400,"12/24/2011  21:00:00","host0",1.2,98.7,0.1,32909536,21289473.6,11620062.4
1324782000,"12/24/2011  22:00:00","host0",1,98.9,0.1,32909536,21291753.9,11617782.1
1324785600,"12/24/2011  23:00:00","host0",1,98.9,0.1,32909536,21296353.7,11613182.3
1324789200,"12/25/2011   0:00:00","host0",1,98.9,0.1,32909536,21297974.1,11611561.9
1324792800,"12/25/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21321743.9,11587792.1
1324796400,"12/25/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21353490.9,11556045.1
1324800000,"12/25/2011   3:00:00","host0",1.1,98.9,0.1,32909536,21281172,11628364
1324803600,"12/25/2011   4:00:00","host0",1,98.9,0.1,32909536,21267030.8,11642505.2
1324807200,"12/25/2011   5:00:00","host0",1,98.9,0.1,32909536,21268585.7,11640950.3
1324810800,"12/25/2011   6:00:00","host0",1.4,98.5,0.1,32909536,21236678.7,11672857.3
1324814400,"12/25/2011   7:00:00","host0",1,98.9,0.1,32909536,21204281.2,11705254.8
1324818000,"12/25/2011   8:00:00","host0",1,99,0.1,32909536,21205176.1,11704359.9
1324821600,"12/25/2011   9:00:00","host0",1,98.9,0.1,32909536,21206843.2,11702692.8
1324825200,"12/25/2011  10:00:00","host0",1.1,98.8,0.1,32909536,21184574,11724962
1324828800,"12/25/2011  11:00:00","host0",1,98.9,0.1,32909536,21179199.3,11730336.7
1324832400,"12/25/2011  12:00:00","host0",1,98.9,0.1,32909536,21186759.5,11722776.5
1324836000,"12/25/2011  13:00:00","host0",1,98.9,0.1,32909536,21189229.1,11720306.9
1324839600,"12/25/2011  14:00:00","host0",1,98.9,0.1,32909536,21191032.8,11718503.2
1324843200,"12/25/2011  15:00:00","host0",1,98.9,0.1,32909536,21191896.5,11717639.5
1324846800,"12/25/2011  16:00:00","host0",1,98.9,0.1,32909536,21200099.2,11709436.8
1324850400,"12/25/2011  17:00:00","host0",1,98.9,0.1,32909536,21198208.8,11711327.2
1324854000,"12/25/2011  18:00:00","host0",1,98.9,0.1,32909536,21200398.1,11709137.9
1324857600,"12/25/2011  19:00:00","host0",1,98.9,0.1,32909536,21202327.2,11707208.8
1324861200,"12/25/2011  20:00:00","host0",1,98.9,0.1,32909536,21204331.1,11705204.9
1324864800,"12/25/2011  21:00:00","host0",1,98.9,0.1,32909536,21206439.7,11703096.3
1324868400,"12/25/2011  22:00:00","host0",1,98.9,0.1,32909536,21207484,11702052
1324872000,"12/25/2011  23:00:00","host0",1,98.9,0.1,32909536,21208206,11701330
1324875600,"12/26/2011   0:00:00","host0",1,98.9,0.1,32909536,21210225.7,11699310.3
1324879200,"12/26/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21210387.3,11699148.7
1324882800,"12/26/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21260925.1,11648610.9
1324886400,"12/26/2011   3:00:00","host0",1.1,98.8,0.1,32909536,21198680.9,11710855.1
1324890000,"12/26/2011   4:00:00","host0",1.4,98.4,0.1,32909536,21352092.4,11557443.6
1324893600,"12/26/2011   5:00:00","host0",1,98.9,0.1,32909536,21458304.8,11451231.2
1324897200,"12/26/2011   6:00:00","host0",1,98.9,0.1,32909536,21468314.1,11441221.9
1324900800,"12/26/2011   7:00:00","host0",1,98.9,0.1,32909536,21482378.3,11427157.7
1324904400,"12/26/2011   8:00:00","host0",1,98.9,0.1,32909536,21453007.1,11456528.9
1324908000,"12/26/2011   9:00:00","host0",1,98.9,0.1,32909536,21176246.7,11733289.3
