"time","X","Y","Predicted Y","APE"
272 ,25591753.6,99385.9,98271.0779449413,0.0112171047911089
273 ,23434576,102589.4,96921.0325842667,0.0552529541622558
274 ,22961926.4,105190.9,101034.289097972,0.0395149285920002
275 ,24928803.2,107551.6,106734.488518536,0.00759739028953303
276 ,28059510.4,104309.4,108725.712072352,0.0423385818761481
277 ,28604121.6,111296.9,104048.322424752,0.0651282971515667
278 ,25867443.2,107607.5,109514.881522226,0.0177253585691149
279 ,23902003.2,106932.4,108372.563940871,0.0134679848284664
280 ,25445174.4,107095.8,108736.987042428,0.0153244762392959
281 ,23067244.8,110110.1,105650.598649175,0.0405003841684382
282 ,25032179.2,107121.6,111208.197654014,0.0381491468948739
283 ,22096345.6,106910.9,105892.593493902,0.0095248146456381
284 ,21927020.8,108282.6,106846.088851743,0.0132663156246446
285 ,25488256,117127.7,109270.80501928,0.0670797341766292
286 ,24196915.2,106635.7,111699.344803705,0.0474854556560829
287 ,21353641.6,108274,106526.153174102,0.0161428119945513
288 ,24006172.8,115442.1,110835.951694311,0.0399000737658919
289 ,22119884.8,112328.9,111026.491996491,0.0115945941205604
290 ,23208819.2,102060.5,111147.351194091,0.0890339670498463
291 ,21402902.4,108673.9,106968.514894985,0.0156926833859415
292 ,22904854.4,109370.5,109768.475868501,0.00363878622207193
293 ,21744489.6,105590.8,108801.187226764,0.0304040430299236
294 ,20887478.4,107659.1,103158.411510432,0.0418049982729599
295 ,22037568,111292.6,108572.649931326,0.024439630924913
296 ,21214003.2,113412.5,107272.426749617,0.0541392990224456
297 ,23415283.2,108256.8,110574.748454856,0.0214115737289125
